h,k,l,|G|,2theta,d,I
-8,-2,-1,8.15500890746159,177.56137103207942,0.09447806476875413,0
-8,-2,0,8.095698964634494,165.95891167286584,0.09586744807417698,0.0005846130790608706
-8,-2,1,8.15500890746159,177.56137103207942,0.09447806476875413,0
-8,-1,-2,8.15500890746159,177.56137103207942,0.09447806476875413,0
-8,-1,-1,7.9757560529642735,155.80798328885516,0.09877252225824294,0
-8,-1,0,7.915103035438159,152.0314116413408,0.10029209952375437,0
-8,-1,1,7.9757560529642735,155.80798328885516,0.09877252225824294,0
-8,-1,2,8.15500890746159,177.56137103207942,0.09447806476875413,0
-8,0,-2,8.095698964634494,165.95891167286584,0.09586744807417698,0.0005846130790608706
-8,0,-1,7.915103035438159,152.0314116413408,0.10029209952375437,0
-8,0,0,7.853981633974482,148.67504338055255,0.10185916357881304,0
-8,0,1,7.915103035438159,152.0314116413408,0.10029209952375437,0
-8,0,2,8.095698964634494,165.95891167286584,0.09586744807417698,0.0005846130790608706
-8,1,-2,8.15500890746159,177.56137103207942,0.09447806476875413,0
-8,1,-1,7.9757560529642735,155.80798328885516,0.09877252225824294,0
-8,1,0,7.915103035438159,152.0314116413408,0.10029209952375437,0
-8,1,1,7.9757560529642735,155.80798328885516,0.09877252225824294,0
-8,1,2,8.15500890746159,177.56137103207942,0.09447806476875413,0
-8,2,-1,8.15500890746159,177.56137103207942,0.09447806476875413,0
-8,2,0,8.095698964634494,165.95891167286584,0.09586744807417698,0.0005846130790608706
-8,2,1,8.15500890746159,177.56137103207942,0.09447806476875413,0
-7,-4,-2,8.15500890746159,177.56137103207942,0.09447806476875413,0
-7,-4,-1,7.975756052964273,155.8079832888551,0.09877252225824296,0
-7,-4,0,7.915103035438158,152.03141164134075,0.10029209952375438,0
-7,-4,1,7.975756052964273,155.8079832888551,0.09877252225824296,0
-7,-4,2,8.15500890746159,177.56137103207942,0.09447806476875413,0
-7,-3,-3,8.035951292236042,160.24552263982693,0.09729830550811992,0.005574496922697598
-7,-3,-2,7.730289153532403,142.77705141987894,0.10514494304909733,0
-7,-3,-1,7.540947203955154,135.18372448287252,0.1104912960854921,0.007272521136936976
-7,-3,0,7.4767677627464915,132.87476500885973,0.11239631843179371,0
-7,-3,1,7.540947203955154,135.18372448287252,0.1104912960854921,0.007272521136936974
-7,-3,2,7.730289153532403,142.77705141987894,0.10514494304909733,0
